id,gender,age,topic,sign,grupo_edad,Freq
2059027,male,15,Student,Leo,A,4
3581210,male,33,InvestmentBanking,Aquarius,C,70
3539003,female,14,indUnk,Aries,A,21
4172416,female,25,indUnk,Capricorn,B,2
3668238,female,17,Student,Gemini,A,10
4030905,female,17,Student,Aries,A,25
4198080,female,23,indUnk,Aquarius,B,1
3705830,male,25,Non-Profit,Cancer,B,46
3649763,female,33,Banking,Aquarius,C,13
3389918,female,37,indUnk,Aquarius,C,19
4304458,female,25,indUnk,Sagittarius,B,3
3429420,male,15,Student,Aquarius,A,34
3389671,male,26,indUnk,Leo,B,35
649790,female,24,indUnk,Scorpio,B,191
3022585,female,27,Education,Aquarius,B,85
3808902,female,45,indUnk,Sagittarius,C,14
3176655,male,24,Engineering,Libra,B,119
3667495,male,15,Science,Libra,A,29
3486574,female,15,Student,Gemini,A,5
4275555,female,34,indUnk,Scorpio,C,6
1240631,male,41,Communications-Media,Libra,C,14
3711014,male,24,BusinessServices,Cancer,B,19
3168577,male,23,indUnk,Sagittarius,B,49
1550279,male,17,Student,Sagittarius,A,32
1916038,female,14,indUnk,Cancer,A,3
3568056,male,17,Sports-Recreation,Capricorn,A,75
3359005,male,14,Student,Scorpio,A,46
2012853,female,23,indUnk,Libra,B,17
4291530,female,23,indUnk,Virgo,B,2
4313749,female,25,indUnk,Taurus,B,6
3827097,female,15,Arts,Pisces,A,2
3369668,male,44,indUnk,Taurus,C,3
3960753,female,15,Student,Cancer,A,6
3644456,male,23,indUnk,Taurus,B,14
1415200,female,15,Student,Libra,A,131
3868966,female,27,Education,Gemini,B,1
3544864,female,33,indUnk,Sagittarius,C,1
1932521,female,16,indUnk,Taurus,A,20
1238294,female,33,indUnk,Leo,C,10
2435706,male,16,indUnk,Gemini,A,5
3309662,male,25,Internet,Aries,B,20
3785178,male,17,Student,Virgo,A,5
4036952,male,26,Museums-Libraries,Leo,B,2
4269654,female,26,Accounting,Aquarius,B,2
2559416,female,15,Student,Aquarius,A,62
3931473,female,26,Science,Sagittarius,B,4
3647746,male,39,Education,Virgo,C,32
3518852,female,15,indUnk,Aries,A,26
3413825,female,25,Student,Taurus,B,33
4036299,male,23,Student,Sagittarius,B,10
4118479,female,24,Banking,Libra,B,3
3573986,female,14,indUnk,Leo,A,4
589736,male,35,Technology,Aries,C,2288
3367100,male,39,Communications-Media,Libra,C,47
3698079,female,14,indUnk,Aquarius,A,3
3297343,female,23,indUnk,Sagittarius,B,3
3835942,male,25,indUnk,Taurus,B,7
3483063,female,16,indUnk,Sagittarius,A,1
3887270,female,17,Student,Leo,A,37
4179573,female,15,Student,Cancer,A,3
4116577,female,36,Student,Gemini,C,1
3821963,female,15,Student,Leo,A,17
3543234,male,14,indUnk,Scorpio,A,41
3670806,male,14,Student,Pisces,A,6
1330888,female,36,indUnk,Pisces,C,59
3842905,female,24,indUnk,Aries,B,13
3384037,female,17,Student,Scorpio,A,7
4158617,female,35,indUnk,Gemini,C,13
3936869,female,23,indUnk,Aries,B,10
1357293,female,25,BusinessServices,Aries,B,22
3316021,male,25,Arts,Aries,B,18
3536864,male,14,Student,Leo,A,37
4063217,female,33,Law,Leo,C,3
3912317,female,16,indUnk,Leo,A,16
4309190,male,46,Consulting,Gemini,C,7
467705,female,25,indUnk,Libra,B,29
4187211,female,23,Student,Taurus,B,17
3356291,male,24,BusinessServices,Leo,B,2
766556,female,34,indUnk,Sagittarius,C,523
2181683,male,15,Arts,Cancer,A,11
4275715,female,34,indUnk,Virgo,C,2
3538434,female,25,Student,Leo,B,14
4286349,male,25,Non-Profit,Capricorn,B,1
3466141,male,15,Student,Sagittarius,A,9
4262796,male,17,indUnk,Aquarius,A,24
3373204,male,25,Technology,Aries,B,27
4222160,male,25,Technology,Aries,B,7
4013263,female,23,Automotive,Aquarius,B,14
3395106,female,14,indUnk,Cancer,A,4
3839094,female,16,Student,Libra,A,16
4321554,male,33,Technology,Sagittarius,C,4
4071938,male,16,BusinessServices,Sagittarius,A,9
1077954,male,26,indUnk,Gemini,B,44
4082066,female,42,Consulting,Leo,C,9
4276611,female,26,indUnk,Libra,B,9
4143737,female,14,Student,Capricorn,A,2
3566850,female,24,Religion,Capricorn,B,4
1233335,male,25,BusinessServices,Sagittarius,B,32
1103575,female,17,indUnk,Scorpio,A,541
3722833,male,15,Student,Libra,A,2
3382251,male,26,indUnk,Sagittarius,B,5
2821801,female,27,indUnk,Taurus,B,605
4181494,male,23,Education,Cancer,B,3
3837231,female,13,indUnk,Libra,A,9
4228369,female,24,indUnk,Aries,B,7
3839759,female,16,Student,Capricorn,A,4
3416559,female,36,Internet,Aries,C,27
3305309,male,35,indUnk,Scorpio,C,4
3706985,male,16,Student,Cancer,A,2
1708471,female,17,indUnk,Cancer,A,136
3998465,male,17,indUnk,Gemini,A,2
4216005,male,23,Consulting,Taurus,B,2
3765885,female,24,Technology,Leo,B,18
4226535,male,42,Religion,Aries,C,5
4023160,female,15,indUnk,Aquarius,A,11
3817025,female,26,indUnk,Aquarius,B,11
4192943,male,15,Sports-Recreation,Taurus,A,2
883178,male,36,Fashion,Aries,C,1616
559410,female,38,Internet,Sagittarius,C,46
4174812,male,23,Student,Aries,B,2
2635745,female,15,Student,Pisces,A,73
4305651,male,24,Student,Gemini,B,2
4088616,female,43,Arts,Aries,C,6
4175778,female,24,indUnk,Aries,B,4
4108942,male,17,indUnk,Sagittarius,A,14
3502320,female,41,indUnk,Gemini,C,6
3543191,male,14,Student,Libra,A,9
4166613,male,17,indUnk,Libra,A,3
3370336,female,23,indUnk,Scorpio,B,3
4160371,female,17,Student,Scorpio,A,3
3907370,male,26,Sports-Recreation,Leo,B,3
3468570,male,17,Student,Cancer,A,26
4187809,female,25,Communications-Media,Pisces,B,22
3883829,female,35,Publishing,Scorpio,C,4
3545557,female,16,indUnk,Sagittarius,A,3
4286351,male,16,indUnk,Gemini,A,13
3412421,male,23,Technology,Sagittarius,B,15
4000416,male,26,Science,Scorpio,B,30
3050485,male,27,Education,Aries,B,13
3696098,female,17,Student,Aries,A,4
3294430,male,26,Education,Libra,B,25
3724380,female,27,Law,Pisces,B,8
3885979,female,13,Student,Aquarius,A,30
3345412,male,16,Student,Leo,A,3
3511107,female,23,Education,Aries,B,4
3894385,male,16,indUnk,Taurus,A,13
3601456,female,26,indUnk,Pisces,B,18
3972364,female,23,Education,Aquarius,B,2
3869393,female,25,Technology,Sagittarius,B,58
711096,male,24,indUnk,Libra,B,23
3502235,male,15,Fashion,Taurus,A,6
3688178,female,40,Internet,Aquarius,C,1
3717124,male,15,Student,Taurus,A,3
3034755,male,23,Internet,Aquarius,B,17
1317518,female,23,Marketing,Leo,B,10
3941452,female,14,Student,Taurus,A,11
4076315,female,23,indUnk,Cancer,B,16
3358564,female,34,Education,Scorpio,C,13
3337329,female,26,indUnk,Libra,B,1
3765420,female,16,Education,Cancer,A,24
4162814,male,14,Student,Cancer,A,9
3525620,male,33,Non-Profit,Gemini,C,24
3627104,female,16,Student,Taurus,A,32
3911396,male,16,Internet,Gemini,A,6
3572471,male,25,Communications-Media,Pisces,B,15
3176411,male,33,Engineering,Aries,C,8
3754841,female,13,Student,Sagittarius,A,2
2271105,male,17,Technology,Capricorn,A,12
3567093,male,25,Accounting,Libra,B,2
4192173,male,27,Technology,Pisces,B,172
1463590,female,24,Education,Capricorn,B,44
2948997,female,17,Student,Sagittarius,A,41
4256671,male,15,indUnk,Virgo,A,18
3681917,male,15,Student,Leo,A,6
3413775,male,17,indUnk,Scorpio,A,8
4213302,female,16,Student,Cancer,A,1
3477296,male,15,Student,Virgo,A,137
2581876,female,24,indUnk,Sagittarius,B,195
3857088,male,37,LawEnforcement-Security,Aquarius,C,10
3749504,female,17,Student,Pisces,A,45
3841325,male,36,indUnk,Taurus,C,5
3877002,female,25,Student,Pisces,B,8
3928610,male,23,indUnk,Virgo,B,11
3981555,male,17,Student,Capricorn,A,2
4119859,female,14,Student,Cancer,A,10
2102033,male,16,indUnk,Cancer,A,180
3922351,male,26,Technology,Scorpio,B,8
3869898,female,17,Student,Capricorn,A,9
4201848,male,45,HumanResources,Aquarius,C,2
2844168,female,27,Marketing,Aquarius,B,146
3545726,female,16,Student,Aquarius,A,7
3433630,male,25,Technology,Pisces,B,2
3806681,male,24,Telecommunications,Sagittarius,B,2
3583915,male,37,BusinessServices,Sagittarius,C,4
4251420,male,16,indUnk,Pisces,A,1
2284644,male,26,Technology,Scorpio,B,33
936098,male,17,Student,Gemini,A,10
3059476,female,17,indUnk,Leo,A,55
3833251,male,14,indUnk,Virgo,A,3
4121120,male,17,Student,Sagittarius,A,5
4204026,male,27,Education,Scorpio,B,2
3828055,male,16,Student,Scorpio,A,12
4157968,male,16,Student,Pisces,A,11
3694096,female,23,Museums-Libraries,Leo,B,15
3976976,female,17,Student,Taurus,A,33
3291253,male,27,Education,Virgo,B,21
3734462,female,23,Arts,Aries,B,8
3485026,male,23,Student,Aries,B,8
3552576,male,26,Technology,Libra,B,3
3357167,male,24,indUnk,Aquarius,B,4
4276559,female,15,Student,Virgo,A,4
3932072,female,16,indUnk,Capricorn,A,60
4227384,female,33,Consulting,Aries,C,3
1705136,female,25,indUnk,Pisces,B,21
3314576,female,25,Education,Taurus,B,14
3759257,female,17,Student,Aquarius,A,9
1393814,female,13,indUnk,Gemini,A,16
3756895,male,16,Student,Virgo,A,15
4019147,female,23,Military,Cancer,B,11
4311822,female,35,indUnk,Aquarius,C,3
3320151,male,16,Student,Capricorn,A,13
3857692,male,33,indUnk,Leo,C,2
4062379,female,27,Government,Aquarius,B,4
3970640,female,39,Education,Taurus,C,15
4245017,female,33,indUnk,Cancer,C,3
3876012,male,27,indUnk,Cancer,B,9
3414204,male,35,Internet,Capricorn,C,11
1429060,male,17,Student,Cancer,A,131
3463044,female,37,indUnk,Pisces,C,4
3579048,male,14,indUnk,Sagittarius,A,17
3535782,male,25,Banking,Capricorn,B,5
3712719,female,23,indUnk,Scorpio,B,45
3377005,male,26,indUnk,Sagittarius,B,41
491348,female,17,Student,Gemini,A,26
3361107,male,35,Science,Virgo,C,4
3842156,female,26,Transportation,Scorpio,B,45
3418356,male,23,Military,Scorpio,B,4
1130595,male,16,indUnk,Sagittarius,A,36
3702123,male,26,Architecture,Cancer,B,39
1209241,male,25,Government,Virgo,B,61
3544723,female,25,indUnk,Sagittarius,B,12
4052856,male,17,Non-Profit,Sagittarius,A,8
873288,female,23,Arts,Capricorn,B,129
4177637,male,16,Student,Capricorn,A,8
3930078,female,23,indUnk,Cancer,B,4
4004267,male,33,LawEnforcement-Security,Taurus,C,35
3205298,male,39,Internet,Aquarius,C,8
1781897,male,27,Technology,Virgo,B,119
23191,female,23,Advertising,Taurus,B,5
1472026,female,47,Arts,Sagittarius,C,8
2061087,female,33,indUnk,Cancer,C,174
2462841,male,17,Student,Cancer,A,26
3626815,male,17,Student,Cancer,A,5
4124979,male,41,Engineering,Gemini,C,26
3849970,female,33,indUnk,Taurus,C,50
3350684,male,15,indUnk,Capricorn,A,24
3204689,male,23,Engineering,Aquarius,B,75
4139321,male,26,indUnk,Pisces,B,7
4216565,female,34,indUnk,Cancer,C,4
3080267,male,23,Engineering,Capricorn,B,82
4091350,male,26,indUnk,Pisces,B,5
2697034,female,23,BusinessServices,Cancer,B,42
4282867,female,27,Military,Capricorn,B,3
4009346,male,24,Non-Profit,Taurus,B,9
4120089,female,36,Internet,Capricorn,C,14
3933663,female,27,Publishing,Scorpio,B,63
870843,male,17,Student,Sagittarius,A,17
2944118,male,17,indUnk,Gemini,A,83
4284657,male,14,Student,Aquarius,A,2
3645035,male,15,Education,Virgo,A,10
2086819,female,15,indUnk,Gemini,A,25
3668449,female,24,Banking,Aquarius,B,40
4092173,male,25,indUnk,Aries,B,2
3354122,female,16,indUnk,Cancer,A,19
4321739,male,16,Arts,Virgo,A,2
2947268,male,25,Internet,Cancer,B,57
1926378,female,24,indUnk,Aries,B,471
3074758,male,17,Non-Profit,Gemini,A,6
3608093,male,25,indUnk,Libra,B,19
3606330,male,23,indUnk,Aquarius,B,21
3842922,female,15,Non-Profit,Scorpio,A,48
2898040,female,23,BusinessServices,Taurus,B,7
3822314,male,27,Education,Libra,B,22
3034814,female,24,indUnk,Sagittarius,B,62
3290020,male,23,indUnk,Leo,B,4
3717362,male,33,Technology,Sagittarius,C,21
3343504,male,16,Student,Libra,A,24
1103084,male,34,Education,Pisces,C,270
3472003,female,23,Government,Virgo,B,19
4100253,female,14,indUnk,Taurus,A,12
2908515,male,17,Student,Capricorn,A,37
3493680,female,26,indUnk,Pisces,B,5
3601337,female,24,indUnk,Cancer,B,2
3976495,male,27,indUnk,Pisces,B,5
3374786,male,13,indUnk,Aquarius,A,9
3664499,female,25,Accounting,Capricorn,B,16
3422875,female,42,Arts,Aquarius,C,11
669514,female,27,indUnk,Sagittarius,B,194
3403305,male,14,Student,Aquarius,A,37
4075808,female,35,indUnk,Virgo,C,16
3925426,male,27,Student,Capricorn,B,1
3332710,male,24,Telecommunications,Leo,B,5
3293221,female,26,Accounting,Cancer,B,15
3185684,female,17,Arts,Leo,A,85
2685566,female,25,Consulting,Pisces,B,36
3865378,male,15,Student,Sagittarius,A,13
3065493,male,13,Student,Leo,A,2
3956774,male,17,Student,Capricorn,A,10
3366901,female,24,Law,Leo,B,31
4068174,female,13,indUnk,Aries,A,8
902615,female,25,indUnk,Aquarius,B,131
4235382,female,24,Student,Cancer,B,13
3917241,male,26,Arts,Gemini,B,3
1976124,male,25,indUnk,Libra,B,107
3569476,female,17,indUnk,Virgo,A,45
