,id,gender,age,topic,sign,grupo_edad,Freq,cluster,embd_x_coord,embd_y_coord,embd_z_coord
0,2059027,male,15,Student,Leo,A,4,4,-370.0049900288955,-514.9620807543141,-705.6194637679862
1,3581210,male,33,InvestmentBanking,Aquarius,C,70,2,-284.7234589197035,446.23274922336316,0.3080177738465878
2,3539003,female,14,indUnk,Aries,A,21,1,-107.5844503533383,-149.911270533119,326.5851003646345
3,4172416,female,25,indUnk,Capricorn,B,2,0,597.9965639900564,119.37135517539616,0.47112611306283914
4,3668238,female,17,Student,Gemini,A,10,1,-107.36417726273538,-149.44104991752783,-215.83190099190656
5,4030905,female,17,Student,Aries,A,25,4,-366.57228629171146,-510.24976394362574,-705.317610966364
6,4198080,female,23,indUnk,Aquarius,B,1,0,455.6483775424981,90.92799974367628,0.38731041601709393
7,3705830,male,25,Non-Profit,Cancer,B,46,0,201.11970039381615,40.76772210263439,0.11948471452938098
8,3649763,female,33,Banking,Aquarius,C,13,2,-284.72608120385183,446.2551986544996,0.30866809989229077
9,3389918,female,37,indUnk,Aquarius,C,19,2,-412.8555081914453,647.2988020730787,0.4622799180876022
10,4304458,female,25,indUnk,Sagittarius,B,3,0,947.0981541233914,188.4111452470225,0.6305942712455915
11,3429420,male,15,Student,Aquarius,A,34,1,-107.3641772627366,-149.44104991752639,-215.83190099190813
12,3389671,male,26,indUnk,Leo,B,35,0,947.0981541233984,188.41114524702115,0.6305942712462407
13,649790,female,24,indUnk,Scorpio,B,191,0,475.28813405921824,94.8454127304589,0.3990551892917385
14,3022585,female,27,Education,Aquarius,B,85,0,229.24318117545064,45.119806807849585,0.10181891391129685
15,3808902,female,45,indUnk,Sagittarius,C,14,2,-412.85550819144544,647.2988020730803,0.4622799180845245
16,3176655,male,24,Engineering,Libra,B,119,0,205.75405330880278,41.320659689009275,0.12376059312534898
17,3667495,male,15,Science,Libra,A,29,1,-106.41995464953035,-148.06534338502698,-9.934940905706522
18,3486574,female,15,Student,Gemini,A,5,1,-107.36417726273635,-149.44104991752786,-215.83190099190696
19,4275555,female,34,indUnk,Scorpio,C,6,2,-412.85550819144504,647.298802073078,0.4622799180838903
20,1240631,male,41,Communications-Media,Libra,C,14,2,-291.1257345993633,456.1929603031302,0.3130977073748219
21,3711014,male,24,BusinessServices,Cancer,B,19,0,192.04216527910722,38.607572382572485,0.11820173687083002
22,3168577,male,23,indUnk,Sagittarius,B,49,0,455.6483775425,90.9279997436765,0.3873104160148973
23,1550279,male,17,Student,Sagittarius,A,32,4,-390.523232022745,-542.9292068800092,-707.5715147682995
24,1916038,female,14,indUnk,Cancer,A,3,3,-284.10906047675155,-395.5594613235767,813.7430990991783
25,3568056,male,17,Sports-Recreation,Capricorn,A,75,1,-108.50415924693421,-150.86226378569356,-10.515266074238312
26,3359005,male,14,Student,Scorpio,A,46,1,-107.47731291261798,-149.59852672595736,-215.83383067345443
27,2012853,female,23,indUnk,Libra,B,17,0,455.64837754249777,90.92799974367526,0.3873104160184012
28,4291530,female,23,indUnk,Virgo,B,2,0,455.6483775424974,90.92799974367698,0.38731041601803573
29,4313749,female,25,indUnk,Taurus,B,6,0,184.15242263330168,36.74411596157084,0.15479548015523437
30,3827097,female,15,Arts,Pisces,A,2,1,-114.02731898897824,-156.37301380305124,-10.337731658263225
31,3369668,male,44,indUnk,Taurus,C,3,2,-398.171252311226,624.2250658748495,0.44626220154915136
32,3960753,female,15,Student,Cancer,A,6,1,-107.36417726273503,-149.44104991752636,-215.83190099190708
33,3644456,male,23,indUnk,Taurus,B,14,0,868.199041103829,172.70335529844968,0.5796004637623794
34,1415200,female,15,Student,Libra,A,131,1,-107.36417726273535,-149.44104991752744,-215.83190099190648
35,3868966,female,27,Education,Gemini,B,1,0,594.8016701983687,117.79131512067605,0.28424191621653355
36,3544864,female,33,indUnk,Sagittarius,C,1,2,-426.3599073660584,668.4862213005002,0.4775494143377867
37,1932521,female,16,indUnk,Taurus,A,20,3,-329.67989309200846,-458.2627286761033,809.6102050818562
38,1238294,female,33,indUnk,Leo,C,10,2,-426.35990736605925,668.4862213004996,0.477549414335646
39,2435706,male,16,indUnk,Gemini,A,5,3,-280.3564277142153,-390.54301814717604,814.206487351324
40,3309662,male,25,Internet,Aries,B,20,0,673.5501936244547,133.70872318241862,0.35319266845452857
41,3785178,male,17,Student,Virgo,A,5,4,-342.34688987959845,-476.6378335100674,-702.8991812416976
42,4036952,male,26,Museums-Libraries,Leo,B,2,0,676.3057783958445,134.28318910152214,0.3574939150439445
